code,term
bloating_distension,Bloating distension
blood_pressure,Blood pressure
bmi,BMI
bone cancer,Bone cancer
bp_diastolic, Diastolic
bp_systolic, Systolic
brain cancer,Brain cancer
breast cancer,Breast cancer
bronchiectasis,Bronchiectasis
cardiomyopathy,Cardiomyopathy
carpal_tunnel,Carpal tunnel
cataract,Cataract
cerebral_palsy,Cerebral palsy
cerebrovascular_disease,Cerebrovascular disease
cervix cancer,Cervix cancer
change_in_bowel_habit,Change in bowel habit
chest_pain,Chest pain
cholangitis,Cholangitis
cholecystectomy,Cholecystectomy
cholecystitis,Cholecystitis
cholelithiasis,Cholelithiasis
cholesterol_triglycerides,Cholesterol triglycerides
cholesterolaemia,Cholesterolaemia
chronic_fatigue,Chronic fatigue
carcinoma_in_cervical,Carcinoma in cervical
cirrhosis,Cirrhosis
coeliac,Coeliac
collapsed_vertabrae,Collapsed vertabrae
colorectal cancer,Colorectal cancer
congenital_cardiac,Congenital cardiac
constipation,Constipation
creatinine_serum,Creatinine serum
creatinine_urine,Creatinine urine
crohns,Crohn's
current or ex-smoker,Current or ex-smoker
current smoker,Current smoker
cystic_fibrosis,Cystic fibrosis
cystic_renal,Cystic renal
dilated_cardiomyopathy,Dilated cardiomyopathy
deaf,Deaf
delirium,Delirium
dementia,Dementia
depression,Depression
dermatitis,Dermatitis
diabetes_eye,Diabetes eye
diabetes,Diabetes
diabetes_neuro,Diabetes neuro
diabetes_type1,Diabetes type1
diabetes_type2,Diabetes type2
diabetic_retinopathy,Diabetic retinopathy
diarrhoea,Diarrhoea
diverticular,Diverticular
diabetic_neurological_complications,Diabetic neurological complications
downsyndrome,Down syndrome
dysmenorrhoea,Dysmenorrhoea
dyspepsia,Dyspepsia
dysphagia,Dysphagia
eating_disorder,Eating disorder
endometrial_hyper,Endometrial hyper
endometriosis,Endometriosis
endoscopy,Endoscopy
enteropathic_arthropathy,Enteropathic arthropathy
enthesopathy,Enthesopathy
epigastric_pain,Epigastric pain
epilepsy,Epilepsy
erectile_dysfunction,Erectile dysfunction
esophagus cancer,Esophagus cancer
essential_tremor,Essential tremor
ex-smoker,Ex-smoker
family history of colon cancer,Family history of colon cancer
family history of esophagus cancer,Family history of esophagus cancer
family history of git cancer,Family history of git cancer
family history of liver cancer,Family history of liver cancer
family history of other cancer,Family history of other cancer
family history of pancreas cancer,Family history of pancreas cancer
family history of stomach cancer,Family history of stomach cancer
fatigue_malaise,Fatigue malaise
fatty_liver,Fatty liver
female_genital_prolapse,Female genital prolapse
female_infertility,Female infertility
ferritin,Ferritin
fibromatosis,Fibromatosis
fibromyalgia,Fibromyalgia
folate_deficiency,Folate deficiency
folatedef,Folate deficiency
fracture_hip,Fracture hip
fracture_wrist,Fracture wrist
gallbladder_disease,Gallbladder disease
gallbladder_disease_without_psc,Gallbladder disease without PSC
gastrectomy,Gastrectomy
gastritis_duodenitis,Gastritis duodenitis
gastrointestinal_angiodysplasia,Gastrointestinal angiodysplasia
git_bleed,GIT bleed
glaucoma,Glaucoma
glucose,Glucose
gord_pud_barrets,GORD PUDB Barrets
gout,Gout
haemangioma,Haemangioma
hayfever,Hayfever
headneck cancer,Headneck cancer
hearing_loss,Hearing loss
heart_failure,Heart failure
heart_valve_dz,Heart valve dz
heartburn,Heartburn
height,Height
hep_b_vaccine,Hep B vaccine
hepatitis_b,Hepatitis B
hepatitis_c,Hepatitis C
hernia_abdominal,Hernia abdominal
hernia_diaphragm,Hernia diaphragm
hidradenitis,Hidradenitis
hiv,HIV
hoarseness,Hoarseness
hypertrophic_cardiomyopathy,Hypertrophic cardiomyopathy
hodgkins,Hodgkins
hydrocele,Hydrocele
hyperparathyroidism,Hyperparathyroidism
hyper_nasal_turbs,Hyper nasal turbs
hyperprolactinaemia,Hyperprolactinaemia
hypertension,Hypertension
hypertension,Hypertension
hypopituitarism,Hypopituitarism
hyposplenism,Hyposplenism
immunodef,Immunodef
infection_bones_joints,Infection bones joints
intellectual_disability,Intellectual disability
intervertebral_disc_disorders,Intervertebral disc disorders
intracerebral_haemorrhage,Intracerebral haemorrhage
intracranial_hypertension,Intracranial hypertension
intrauterine_hypoxia,Intrauterine hypoxia
iron,Iron
iron_medication,Iron medication
iron_deficiency_anaemia,Iron deficiency anaemia
jaundice,Jaundice
juvenile_arthritis,Juvenile arthritis
keratitis,Keratitis
kidney cancer,Kidney cancer
leiomyoma,Leiomyoma
leukemia cancer,Leukemia cancer
lichen_planus,Lichen planus
liver cancer,Liver cancer
alcoholic_liver_disease,Alcoholic liver disease
liver_disease,Liver disease
liver_disease_with_autoimmune,Liver disease with autoimmune
liver_failure,Liver failure
lung cancer,Lung cancer
lymphocyte,Lymphocyte
lymphoma cancer,Lymphoma cancer
macular_degeneration,Macular degeneration
male_infertility,Male infertility
melanoma cancer,Melanoma cancer
meniere,Meniere
menorrhagia,Menorrhagia
mesothelioma cancer,Mesothelioma cancer
migraine,Migraine
multiple_valve_diseas,Multiple valve diseas
multiple_sclerosis,Multiple sclerosis
myasthenia,Myasthenia
myeloma cancer,Myeloma cancer
myocardial_infarction,Myocardial infarction
nasal_polyp,Nasal polyp
nausea_vomiting,Nausea vomiting
neonatal_jaundice,Neonatal jaundice
neuropathic_bladder,Neuropathic bladder
neutrophils,Neutrophils
nicotine or tobacco use,Nicotine or tobacco use
non-smoker,Non-smoker
nonrheumatic_aortic_valve_disorder,Nonrheumatic aortic valve disorder
nonrheumatic_mitral_valve_disorder,Nonrheumatic mitral valve disorder
obesity,Obesity
obstructive_reflux_uropathy,Obstructive reflux uropathy
ocd,OCD
odynophagia,Odynophagia
oesophagus_ulcer,Oesophagus ulcer
oral cancer,Oral cancer
osteoporosis,Osteoporosis
other cancer,Other cancer
other_anaemia,Other anaemia
other_haem_anaemia,Other haem anaemia
ovary cancer,Ovary cancer
pancreas cancer,Pancreas cancer
pancreatitis,Pancreatitis
parkinsons,Parkinsons
pericardial_effusion,Pericardial effusion
peripheral_atrerial_disease,Peripheral atrerial disease
peripheral_neuropathy,Peripheral neuropathy
peritonitis,Peritonitis
phlebitis,Phlebitis
pilonidal,Pilonidal
plasma_proteins,Plasma proteins
plasma_viscosity,Plasma viscosity
plasmacell,Plasmacell
platelets,Platelets
pleural_effusion,Pleural effusion
pleural_plaque,Pleural plaque
pneumonia,Pneumonia
pneumothorax,Pneumothorax
polyposis,Polyposis
portal_hypertension,Portal hypertension
post_term_infant,Post term infant
posterior_uveitis,Posterior uveitis
prematurity,Prematurity
prostate cancer,Prostate cancer
pruritus,Pruritus
psoriasis,Psoriasis
ptosis,Ptosis
pulmonary_collapse,Pulmonary collapse
pulmonary_fibrosis,Pulmonary fibrosis
pulmonary_hypertension,Pulmonary hypertension
raynauds,raynauds
reactive_anthropathies,Reactive anthropathies
respiratory_failure,Respiratory failure
retinal_detachment,Retinal detachment
retinal_vasc_occlussion,Retinal vasc occlussion
retinal_vein_occlusion,Retinal vein occlusion
rheumatic_fever,Rheumatic fever
rosacea,Rosacea
sarcoid,Sarcoid
schizophrenia,Schizophrenia
scleritis,Scleritis
scoliosis,Scoliosis
seborrhoeic_dermatitis,Seborrhoeic dermatitis
sepsis_newborn,Sepsis newborn
sick_sinus,Sick sinus
sickle_cell,Sickle cell
sickle_trait,Sickle trait
sinusitis,Sinusitis
sjogrens_disease,Sjogrens disease
skin_ulcer,Skin ulcer
sleep_apnoea,Sleep apnoea
sleep_disturbance,Sleep disturbance
somatoform,Somatoform
spina_bifida,Spina bifida
spinal_stenosis,Spinal stenosis
splenomegaly,Splenomegaly
spondylolisthesis,Spondylolisthesis
spondylosis,Spondylosis
stable_angina,Stable angina
steatorrhea,Steatorrhea
stomach cancer,Stomach cancer
subarach,Subarach
subdural_haematoma,Subdural haematoma
substance_misuse,Substance misuse
systemic_sclerosis,Systemic sclerosis
testis cancer,Testis cancer
thalassaemia,Thalassaemia
thrombocytopaenia,Thrombocytopaenia
thrombophilia,Thrombophilia
thyroid,Thyroid
tinnitus,Tinnitus
trifascicular_block,Trifascicular block
trigeminal_neuralgia,Trigeminal neuralgia
ulcerative_colitis,Ulcerative colitis
peptic_ulcer_disease,Peptic ulcer disease
undescended_testis,Undescended testis
unspecified_rare_diabetes,Unspecified rare diabetes
unstable_angina,Unstable angina
uppergit cancer,Uppergit cancer
urea_serum,Urea serum
urinary_incontinence,Urinary incontinence
urolithiasis,Urolithiasis
urticaria,Urticaria
uterine cancer,Uterine cancer
varices_portal_hypertension,Varices portal hypertension
venous_lymphatic,Venous lymphatic
venous_thromboembolism,Venous thromboembolism
vitb12_deficiency,Vitb12 deficiency
vitiligo,Vitiligo
volvulus,Volvulus
weight,Weight
weightloss,Weightloss
S226.00,Fracture of upper end of humerus
S85..00,Open wound of chest wall
1533.00,Gravida 2
1534.00,Gravida 3
1535.00,Gravida 4
1536.00,Gravida 5
1537.00,Gravida 6
1538.00,Gravida 7
1539.00,Gravida 8
153A.00,Gravida 9
153B.00,Gravida 10
656..00,Tetanus vaccination
H121.00,Chronic pharyngitis
G221.00,Benign hypertensive renal disease
L467.00,Hypogalactia
1BH0.00,Delusion of persecution
N066.00,Monoarthritis
1S00.00,Déjà vu
1BA6.00,Occipital headache
SP36.00,ABO incompatibility reaction
8Hd4.00,Hospital re-admission
PA12.00,Congenital adhesions of tongue
G102.00,Chronic rheumatic myopericarditis
A411.00,Jakob-Creutzfeldt disease
PG00.00,Congenital absence of skull bones
L231.00,Generally contracted pelvis
679j.00,Medication education
A860.00,Chagas' disease with heart involvement
AC10.00,Opisthorchiasis
G201.00,Benign essential hypertension
J175.00,Gastroptosis
AC72.00,Strongyloidiasis
K274.00,Peyronie's disease
PC34.00,Uterus unicornis
G862.00,Lymphangitis
F041.00,Intraspinal abscess
P768.00,Congenital phlebectasia
4M73.00,Clark melanoma level 4
G32..00,Old myocardial infarction
J616.00,Biliary cirrhosis
P21..00,Microcephalus
P211.00,Micrencephaly
P812.00,Accessory nose
Q400.00,Congenital rubella syndrome
PH68.00,Ectopic breast tissue
16D6.00,Fall
PDy1.00,Congenital absence of urethra
PG52.00,Osteopetrosis
J153.00,Alcoholic gastritis
F173.00,Shoulder-hand syndrome
1825.00,Pleuritic pain
7214.00,Reconstruction of eyelid
J300.00,Inguinal hernia with gangrene
SC06.00,Late effect of dislocation
P02..00,Iniencephaly
8F21.00,Educational therapy
1AC0.00,Anuria
A76..00,Trachoma
K530.00,Follicular cyst of ovary
G763.00,Hyperplasia of renal artery
J681.00,Melaena
K26..00,Male infertility
G78..00,Occlusion of artery
PH40.00,Congenital alopecia
1B6..00,Disturbance of consciousness
A847.00,Induced malaria
K5B4.00,Female infertility of cervical origin
AC00.00,Schistosoma haematobium
K270.00,Leukoplakia of penis
A320.00,Faucial diphtheria
Q405.00,Neonatal infective mastitis
AB24.00,Candidiasis of lung
SC09.00,Late effect of traumatic amputation
A70..00,Viral hepatitis
K560.00,Dysplasia of vagina
M164.00,Pityriasis rubra pilaris
SK07.00,Subcutaneous emphysema
A16..00,Tuberculosis of genitourinary system
A626.00,Rocio virus disease
F260.00,Migraine with typical aura
PC8..00,Congenital anomaly of male genital system
J3B1.00,Retroperitoneal hernia with obstruction
13Z2.00,Educational problem
F002.00,Streptococcal meningitis
TC41.00,Fall from cliff
PF54.00,Madelung's deformity
G311.00,Preinfarction syndrome
A270.00,Listeriosis
Ny2..00,Repetitive strain injury
J032.00,Gingival recession
PF65.00,Macrodactylia of toes
PH15.00,X-linked ichthyosis
A24..00,Glanders
44R..00,Lipoprotein electrophoresis
4J2B.00,Mycobacteria culture
A53..00,Herpes zoster infection
SN11.00,Frostbite of hand
M170.00,Lichen planus
A010.00,Typhoid fever
F420.00,Diabetic retinopathy
44N..00,Serum protein electrophoresis
P226.00,Polymicrogyria
1BA9.00,Sinus headache
G562.00,Left bundle branch hemiblock
H321.00,Panlobular emphysema
1ABE.00,Abnormal angle of erection
P2x3.00,Jaw-winking syndrome
N083.00,Recurrent dislocation of joint
PB54.00,Ectopic anus
8E21.00,Speech therapy
PG72.00,Prune belly syndrome
F565.00,Labyrinthine dysfunction
A330.00,Bordetella infection
AC02.00,Schistosoma japonicum
F151.00,Spinal muscular atrophy
22JA.00,Postoperative death
F4J6.00,Mechanical strabismus
H061.00,Acute bronchiolitis
PG16.00,Klippel-Feil syndrome
PKy1.00,Laurence-Moon-Biedl syndrome
J034.00,Chronic periodontitis
SA02.00,Open wound of hip AND thigh with tendon involvement
F4A..00,Keratitis
M142.00,Juvenile dermatitis herpetiformis
S30..00,Fracture of neck of femur
G5y6.00,Rupture of papillary muscle
7C12.00,Repair of spermatic cord
N246.00,Residual foreign body in soft tissue
L222.00,Breech presentation
H27..00,Influenza
F25A.00,Juvenile myoclonic epilepsy
K273.00,Priapism
K564.00,Old vaginal laceration
A390.00,Cutaneous actinomycosis
1A13.00,Nocturia
1BD1.00,Suicidal ideation
J222.00,Relapsing appendicitis
1A5D.00,Urethral pain
H040.00,Acute laryngitis
K193.00,Urethral caruncle
J093.00,Hypertrophy of tongue papillae
S337.00,Fracture of shaft of tibia
L464.00,Failure of lactation
F252.00,Petit-mal status
1A52.00,Renal colic
P30..00,Anophthalmos
P303.00,Congenital absence of eyes
K090.00,Small kidney
PK5..00,Tuberous sclerosis
P71..00,Coarctation of aorta
N337.00,Algoneurodystrophy
P58..00,Double outlet left ventricle
P511.00,Double outlet right ventricle
J092.00,Median rhomboid glossitis
A3A4.00,Legionella infection
H571.00,Rheumatic pneumonia
C301.00,Phenylketonuria
SD82.00,Superficial injury of conjunctiva
PDyA.00,Double urinary meatus
1Ba2.00,Thought retardation
M283.00,Dermographic urticaria
M287.00,Physical urticaria
7542.00,Incision of salivary gland
4KL..00,Specimen shows excessive cytolysis
F551.00,Adhesive middle ear disease
K0F..00,Radiation nephritis
PCy9.00,Paraspadias
K287.00,Chylocele of tunica vaginalis
N084.00,Contracture of joint
F375.00,Alcohol-induced polyneuropathy
PF51.00,Congenital deformity of clavicle
G765.00,Necrosis of artery
N359.00,Bunionette
J007.00,Teething syndrome
L226.00,Brow presentation
4L0..00,Phenotype observable
S400.00,Closed dislocation of jaw
G5y3.00,Cardiomegaly
F023.00,Arachnoiditis
H18..00,Vasomotor rhinitis
H432.00,Berylliosis
J151.00,Chronic gastritis
A3A5.00,Brazilian purpuric fever
A951.00,Syphilis of lung
1993.00,Projectile vomiting
PB50.00,Congenital diverticulum of colon
A710.00,Sylvatic rabies
E010.00,Alcohol withdrawal delirium
K212.00,Abscess of prostate
PC72.00,Female pseudohermaphroditism
C10N.00,Secondary diabetes mellitus
702A.00,Exploration of cranial nerve
J220.00,Subacute appendicitis
PG53.00,Osteopoikilosis
G764.00,Coeliac artery compression syndrome
PE43.00,Congenital bowing of tibia AND fibula
13W8.00,Phase of life problem
AC37.00,Dipylidiasis
J094.00,Atrophy of tongue papillae
N100.00,Ankylosing spondylitis
A543.00,Herpetic meningoencephalitis
S21..00,Fracture of scapula
P241.00,Macroencephaly
P249.00,Megalencephaly
L032.00,Ovarian pregnancy
K130.00,Nephroptosis
J611.00,Acute alcoholic hepatitis
1A62.00,Urethral discharge
7B15.00,Incision of ureter
Q311.00,Massive aspiration syndrome
A707.00,Chronic viral hepatitis
A871.00,Tick-borne relapsing fever
N101.00,Spinal enthesopathy
PK02.00,Accessory spleen
F140.00,Friedreich ataxia
A530.00,Herpes zoster with meningitis
H560.00,Pulmonary alveolar proteinosis
H060.00,Acute bronchitis
A723.00,Mumps pancreatitis
44YF.00,"Blood gases, capillary measurement"
Q434.00,Perinatal jaundice due to hepatocellular damage
N113.00,Thoracic spondylosis with myelopathy
PA24.00,Congenital fistula of lip
P251.00,Hydromyelia
H581.00,Interstitial pulmonary emphysema
A950.00,Syphilitic episcleritis
SG41.00,Foreign body in main bronchus
C375.00,Mucopolysaccharidosis
S82..00,Open wound of ear
13K3.00,Poverty
F362.00,Hereditary sensory neuropathy
1P72.00,Normal sexual function
F240.00,Quadriplegia
F57..00,Otosclerosis
K511.00,Uterine prolapse without vaginal wall prolapse
8E76.00,Relaxation exercise
K231.00,Infected hydrocele
P002.00,Hemicephaly
P451.00,Pterygium colli
P45..00,Congenital webbing of neck
49N..00,"Semen analysis, post vasectomy"
M127.00,Contact dermatitis due to solar radiation
1712.00,Dry cough
J554.00,Spontaneous bacterial peritonitis
SN1..00,Effects of reduced temperature
F4E3.00,Ptosis of eyelid
AC11.00,Clonorchiasis
7803.00,Repair of liver
65Y9.00,Inactive tuberculosis
PC00.00,Congenital absence of ovary
G12..00,Rheumatic aortic valve disease
N333.00,Hyperostosis of skull
F003.00,Staphylococcal meningitis
S813.00,Avulsion of eye
28R..00,Impaired insight
PG31.00,Congenital absence of sternum
H34..00,Bronchiectasis
C1z5.00,Androgen resistance syndrome
E001.00,Presenile dementia
F480.00,Amblyopia ex anopsia
N33A.00,Bone pain
6572.00,Pneumococcal vaccination
AB4..00,Histoplasmosis
PH1..00,Congenital ichthyosis
F111.00,Pick's disease
H442.00,Flax-dressers' disease
61...00,Contraception
P68..00,Congenital heart disease
PG12.00,Congenital spondylolisthesis
G722.00,Aneurysm of iliac artery
A552.00,Postmeasles otitis media
135c.00,Mormon
SG71.00,Foreign body in anus
M244.00,Folliculitis
E210.00,Paranoid personality disorder
PF58.00,Congenital cleft hand
K254.00,Paraphimosis
7263.00,Extracapsular extraction of lens
Q443.00,Neonatal thyrotoxicosis
793C.00,Incision of pericardium
P711.00,Preductal coarctation of aorta
7H34.00,Division of fascia
K0G..00,Sickle cell nephropathy
AB69.00,Geotrichosis
F253.00,Grand mal status
TC22.00,Fall from building
A151.00,Tuberculosis of hip
A55..00,Measles
G851.00,Oesophageal varices without bleeding
K590.00,Absence of menstruation
SG50.00,Foreign body in mouth
PB13.00,Congenital stenosis of small intestine
G8y2.00,Compression of vein
7E22.00,Repair of ovary
P4y3.00,Microstomia
F4J4.00,Heterophoria
A870.00,Louse-borne relapsing fever
29B6.00,Hemisensory loss
H431.00,Bauxite fibrosis of lung
19C..00,Constipation
3155.00,Tilt table test
K191.00,Urethral fistula
8FA..00,Pulmonary rehabilitation
13A9.00,Minimal residue diet
F59..00,Hearing loss
L167.00,Liver disorder in pregnancy
PE00.00,Asymmetry of face
PE01.00,Compression facies
G652.00,Subclavian steal syndrome
652..00,Typhoid vaccination
C245.00,Vitamin A deficiency with night blindness
24J0.00,Capillary refill time
PC21.00,Didelphic uterus
G50..00,Acute pericarditis
33E8.00,Ischaemic forearm exercise test
AC54.00,Dipetalonemiasis
G010.00,Acute rheumatic pericarditis
A322.00,Anterior nasal diphtheria
C135.00,Diabetes insipidus
H01..00,Acute sinusitis
PG13.00,Congenital absence of vertebra
L126.00,Eclampsia
B769.00,Reticulohistiocytoma
F587.00,Otalgia
4M74.00,Clark melanoma level 5
F533.00,Postmastoidectomy complication
S34..00,Fracture of ankle
A751.00,Cytomegaloviral mononucleosis
13A4.00,Low fat diet
PD23.00,Congenital hydronephrosis
58D..00,Ultrasound scan
1955.00,Heartburn
L21..00,Multiple pregnancy
PD35.00,Ectopic kidney
A60..00,Yellow fever
L02..00,Missed abortion
F037.00,Transverse myelitis
K080.00,Renal osteodystrophy
4376.00,Indirect Coombs test
J101.00,Oesophagitis
A3B2.00,Pneumococcal infection
312K.00,Visual acuity testing
1A56.00,Strangury
A632.00,Central European encephalitis
K573.00,Hypertrophy of labia
N062.00,Allergic arthritis
J655.00,Fistula of gallbladder
S80..00,Open wound of ocular adnexa
P501.00,Aortic septal defect
A152.00,Tuberculosis of knee
PC30.00,Congenital absence of uterus
PC31.00,Agenesis of uterus
PH44.00,Twisted hair
1644.00,Excessive thirst
D400.00,Agranulocytosis
PG61.00,Congenital diaphragmatic hernia
8744.00,Pneumoperitoneum
PK84.00,Fetal valproate syndrome
N132.00,Cervicocranial syndrome
L04..00,Spontaneous abortion
L245.00,Cervical incompetence
H433.00,Graphite fibrosis of lung
G855.00,Pelvic varices
J526.00,Anal spasm
F132.00,Myoclonus
PCy6.00,Polyorchism
K283.00,Atrophy of testis
C373.00,Amyloidosis
P561.00,Ostium primum defect
H03..00,Acute tonsillitis
G122.00,Rheumatic aortic stenosis with insufficiency
L164.00,Peripheral neuritis in pregnancy
M229.00,Transient acantholytic dermatosis
28D..00,Confabulation
G567.00,Anomalous atrioventricular excitation
J634.00,Hepatic infarction
G81..00,Portal vein thrombosis
F300.00,Post-herpetic trigeminal neuralgia
171K.00,Barking cough
7800.00,Transplantation of liver
54L4.00,Mammary ductogram
J081.00,Gangrenous stomatitis
AB60.00,Rhinosporidiosis
PH62.00,Accessory breast
PH64.00,Supernumerary breast
G011.00,Acute rheumatic endocarditis
E207.00,Hypochondriasis
N380.00,Acquired deformity of nose
PB57.00,Microcolon
L294.00,Grand multipara
8773.00,Hyperbaric oxygen therapy
G141.00,Rheumatic pulmonary valve disease
H350.00,Farmers' lung
PH52.00,Congenital koilonychia
P444.00,Preauricular cyst
P909.00,Cleft uvula
M007.00,Carbuncle of foot
81H5.00,Change of dressing
1BO..00,Mood swings
PDy8.00,Congenital prolapse of urethra
7043.00,Repair of spina bifida
SC35.00,Late effect of foreign body in orifice
7H12.00,Repair of recurrent inguinal hernia
P240.00,Congenital cerebral cyst
A843.00,Ovale malaria
PKy2.00,Marfan's syndrome
K00..00,Acute glomerulonephritis
AE21.00,Late effects of trachoma
M286.00,Contact urticaria
PB75.00,Ectopic pancreas
PB76.00,Pancreatic heterotopia
M08A.00,Cellulitis of axilla
SG31.00,Foreign body in larynx
L130.00,Mild hyperemesis gravidarum
F581.00,Noise effect on inner ear
F403.00,Hypotony of eye
42Z6.00,Platelet aggregation test
PK61.00,Sturge-Weber syndrome
K211.00,Chronic prostatitis
F123.00,Postencephalitic parkinsonism
7J03.00,Reduction of fracture of facial bone
1511.00,Female reproductive function
PD21.00,Occlusion of ureter
F2A..00,Hemiparesis
C312.00,Hereditary fructose intolerance
PF56.00,Accessory carpal bones
8784.00,Helium therapy
K141.00,Calculus in urethra
616..00,Contraceptive diaphragm
G8y1.00,Postphlebitic syndrome
S336.00,Fracture of upper end of tibia
F4G0.00,Acute inflammation of orbit
5883.00,Plethysmography
G853.00,Sublingual varices
A931.00,Syphilitic aortitis
K314.00,Atrophy of breast
K02..00,Chronic glomerulonephritis
L401.00,Puerperal salpingitis
PE22.00,Congenital postural scoliosis
2G2A.00,Tinel's sign
1S03.00,Deja pense
C253.00,Wernicke's encephalopathy
AD66.00,Babesiosis
A845.00,Mixed malaria
2G2B.00,Phalen's sign
13VC.00,Disability
D310.00,Henoch-Schönlein purpura
4M72.00,Clark melanoma level 3
K313.00,Fat necrosis of breast
C363.00,Alkalosis
S861.00,Open wound of back with complication
1969.00,Abdominal pain
7H60.00,Block dissection of lymph nodes
J033.00,Acute periodontitis
C366.00,Fluid overload
F022.00,Chronic meningitis
A391.00,Pulmonary actinomycosis
PE05.00,Plagiocephaly
L225.00,Face presentation
13W9.00,Single parent family
K304.00,Mammary duct ectasia
AA3..00,Pinta
C313.00,Intestinal disaccharidase deficiency
PGy3.00,Nail patella syndrome
K198.00,Stress incontinence
1M...00,Pain
13HM.00,Legal problem
J022.00,Pulp degeneration
L400.00,Puerperal endometritis
PDy0.00,Congenital absence of bladder
F136.00,Idiopathic torsion dystonia
PA20.00,Congenital absence of salivary gland
H41..00,Asbestosis
SG42.00,Foreign body in bronchioles
151J.00,Premenopausal state
S778.00,Injury of urethra
5233.00,Dental radiography
AC16.00,Heterophyiasis
M122.00,Contact dermatitis due to solvents
A393.00,Cervicofacial actinomycosis
